Year,Season,Area,Production,Crop_yield,crop_type,district
2019 - 2020,Rabi,34,80,2.35,Barley,Agar malwa
2020 - 2021,Rabi,40,90,2.25,Barley,Agar malwa
2021 - 2022,Rabi,3,5,1.67,Barley,Agar malwa
2019 - 2020,Rabi,40,46,1.15,Barley,Agar malwa
2020 - 2021,Rabi,67,53,0.79,Barley,Agar malwa
2021 - 2022,Rabi,16,14,0.88,Barley,Anuppur
2022 - 2023,Rabi,50,41,0.82,Barley,Anuppur
2019 - 2020,Rabi,67,199,2.97,Barley,Anuppur
2020 - 2021,Rabi,64,205,3.2,Barley,Anuppur
2021 - 2022,Rabi,87,188,2.16,Barley,Ashoknagar
2022 - 2023,Rabi,110,177,1.61,Barley,Ashoknagar
2019 - 2020,Rabi,1,2,2,Barley,Ashoknagar
2021 - 2022,Rabi,11,20,1.82,Barley,Balaghat
2022 - 2023,Rabi,33,36,1.09,Barley,Balaghat
2019 - 2020,Rabi,28,90,3.21,Barley,Barwani
2021 - 2022,Rabi,3,5,1.67,Barley,Betul
2019 - 2020,Rabi,236,677,2.87,Barley,Betul
2020 - 2021,Rabi,271,444,1.64,Barley,Betul
2021 - 2022,Rabi,91,245,2.69,Barley,Bhind
2022 - 2023,Rabi,230,474,2.06,Barley,Bhind
2019 - 2020,Rabi,4,10,2.5,Barley,Bhind
2020 - 2021,Rabi,1,1,1,Barley,Bhopal
2021 - 2022,Rabi,1,1,1,Barley,Bhopal
2019 - 2020,Rabi,9845,18912,1.92,Barley,Bhopal
2020 - 2021,Rabi,8480,16070,1.9,Barley,Bhopal
2021 - 2022,Rabi,6210,13116,2.11,Barley,Chhatarpur
2022 - 2023,Rabi,9846,13981,1.42,Barley,Chhatarpur
2019 - 2020,Rabi,17,26,1.53,Barley,Chhatarpur
2020 - 2021,Rabi,2,3,1.5,Barley,Damoh
2019 - 2020,Rabi,284,959,3.38,Barley,Damoh
2020 - 2021,Rabi,327,533,1.63,Barley,Damoh
2021 - 2022,Rabi,102,253,2.48,Barley,Datia
2022 - 2023,Rabi,220,407,1.85,Barley,Datia
2019 - 2020,Rabi,1,2,2,Barley,Datia
2020 - 2021,Rabi,2,3,1.5,Barley,Dhar
2019 - 2020,Rabi,2,2,1,Barley,Dindori
2020 - 2021,Rabi,6,19,3.17,Barley,Guna
2021 - 2022,Rabi,7,25,3.57,Barley,Guna
2019 - 2020,Rabi,32,77,2.41,Barley,Guna
2020 - 2021,Rabi,74,123,1.66,Barley,Guna
2021 - 2022,Rabi,14,41,2.93,Barley,Gwalior
2022 - 2023,Rabi,49,85,1.73,Barley,Gwalior
2019 - 2020,Rabi,2,6,3,Barley,Gwalior
2020 - 2021,Rabi,2,4,2,Barley,Harda
2019 - 2020,Rabi,4,11,2.75,Barley,Harda
2020 - 2021,Rabi,9,28,3.11,Barley,Hoshangabad
2021 - 2022,Rabi,2,5,2.5,Barley,Hoshangabad
2019 - 2020,Rabi,1,2,2,Barley,Hoshangabad
2020 - 2021,Rabi,1,1,1,Barley,Indore
2021 - 2022,Rabi,1,3,3,Barley,Indore
2019 - 2020,Rabi,15,34,2.27,Barley,Indore
2020 - 2021,Rabi,3,4,1.33,Barley,Jhabua
2019 - 2020,Rabi,99,251,2.54,Barley,Jhabua
2020 - 2021,Rabi,49,113,2.31,Barley,Jhabua
2021 - 2022,Rabi,42,96,2.29,Barley,Katni
2022 - 2023,Rabi,78,118,1.51,Barley,Katni
2019 - 2020,Rabi,12,20,1.67,Barley,Katni
2021 - 2022,Rabi,2,1,0.5,Barley,Mandla
2019 - 2020,Rabi,110,462,4.2,Barley,Mandla
2020 - 2021,Rabi,64,238,3.72,Barley,Mandla
2021 - 2022,Rabi,29,94,3.24,Barley,Mandsaur
2022 - 2023,Rabi,270,671,2.49,Barley,Mandsaur
2019 - 2020,Rabi,86,294,3.42,Barley,Mandsaur
2020 - 2021,Rabi,53,174,3.28,Barley,Mandsaur
2021 - 2022,Rabi,12,36,3,Barley,Morena
2022 - 2023,Rabi,35,73,2.09,Barley,Morena
2019 - 2020,Rabi,1471,4772,3.24,Barley,Morena
2020 - 2021,Rabi,682,1680,2.46,Barley,Morena
2021 - 2022,Rabi,410,1333,3.25,Barley,Neemuch
2022 - 2023,Rabi,1775,3724,2.1,Barley,Neemuch
2019 - 2020,Rabi,621,1439,2.32,Barley,Neemuch
2020 - 2021,Rabi,1305,2756,2.11,Barley,Neemuch
2021 - 2022,Rabi,547,1285,2.35,Barley,Niwari
2022 - 2023,Rabi,710,1126,1.59,Barley,Niwari
2021 - 2022,Rabi,611,1322,2.16,Barley,Panna
2022 - 2023,Rabi,840,1310,1.56,Barley,Panna
2019 - 2020,Rabi,1,4,4,Barley,Raisen
2019 - 2020,Rabi,20,57,2.85,Barley,Raisen
2020 - 2021,Rabi,12,37,3.08,Barley,Rajgarh
2021 - 2022,Rabi,3,9,3,Barley,Rajgarh
2019 - 2020,Rabi,7,23,3.29,Barley,Rajgarh
2020 - 2021,Rabi,13,37,2.85,Barley,Ratlam
2021 - 2022,Rabi,3,9,3,Barley,Ratlam
2019 - 2020,Rabi,807,1333,1.65,Barley,Ratlam
2020 - 2021,Rabi,592,877,1.48,Barley,Ratlam
2021 - 2022,Rabi,283,511,1.81,Barley,Rewa
2022 - 2023,Rabi,505,697,1.38,Barley,Rewa
2019 - 2020,Rabi,56,135,2.41,Barley,Rewa
2020 - 2021,Rabi,52,109,2.1,Barley,Rewa
2021 - 2022,Rabi,30,50,1.67,Barley,Sagar
2022 - 2023,Rabi,63,95,1.51,Barley,Sagar
2019 - 2020,Rabi,3539,5496,1.55,Barley,Sagar
2020 - 2021,Rabi,2021,4095,2.03,Barley,Sagar
2021 - 2022,Rabi,1482,2979,2.01,Barley,Satna
2022 - 2023,Rabi,2225,3248,1.46,Barley,Satna
2019 - 2020,Rabi,2,5,2.5,Barley,Satna
2020 - 2021,Rabi,5,18,3.6,Barley,Sehore
2021 - 2022,Rabi,4,9,2.25,Barley,Sehore
2019 - 2020,Rabi,272,301,1.11,Barley,Sehore
2020 - 2021,Rabi,113,111,0.98,Barley,Sehore
2021 - 2022,Rabi,94,122,1.3,Barley,Shahdol
2022 - 2023,Rabi,130,109,0.84,Barley,Shahdol
2019 - 2020,Rabi,1,2,2,Barley,Shajapur
2019 - 2020,Rabi,27,92,3.41,Barley,Shajapur
2020 - 2021,Rabi,9,34,3.78,Barley,Sheopur
2021 - 2022,Rabi,4,15,3.75,Barley,Sheopur
2019 - 2020,Rabi,1022,1554,1.52,Barley,Sheopur
2020 - 2021,Rabi,1533,3814,2.49,Barley,Sheopur
2021 - 2022,Rabi,269,586,2.18,Barley,Shivpuri
2022 - 2023,Rabi,560,941,1.68,Barley,Shivpuri
2019 - 2020,Rabi,1911,2781,1.46,Barley,Shivpuri
2020 - 2021,Rabi,1560,3625,2.32,Barley,Shivpuri
2021 - 2022,Rabi,953,1369,1.44,Barley,Sidhi
2022 - 2023,Rabi,1119,1231,1.1,Barley,Sidhi
2021 - 2022,Rabi,3788,6591,1.74,Barley,Singrauli
2022 - 2023,Rabi,4280,8688,2.03,Barley,Singrauli
2019 - 2020,Rabi,1895,4722,2.49,Barley,Singrauli
2020 - 2021,Rabi,1931,4526,2.34,Barley,Singrauli
2021 - 2022,Rabi,1054,2477,2.35,Barley,Tikamgarh
2022 - 2023,Rabi,976,1698,1.74,Barley,Tikamgarh
2019 - 2020,Rabi,14,38,2.71,Barley,Ujjain
2019 - 2020,Rabi,85,108,1.27,Barley,Ujjain
2020 - 2021,Rabi,45,46,1.02,Barley,Ujjain
2021 - 2022,Rabi,26,34,1.31,Barley,Umaria
2022 - 2023,Rabi,70,71,1.01,Barley,Umaria
2019 - 2020,Rabi,13,27,2.08,Barley,Umaria
2020 - 2021,Rabi,16,28,1.75,Barley,Vidisha
2021 - 2022,Rabi,14,45,3.21,Barley,Vidisha
2018 - 2019,Rabi,48638,36868,0.76,Gram,Agar malwa
2019 - 2020,Rabi,16913,21091,1.25,Gram,Agar malwa
2020 - 2021,Rabi,15531,25471,1.64,Gram,Agar malwa
2021 - 2022,Rabi,4980,5314,1.07,Gram,Agar malwa
2022 - 2023,Rabi,7900,8058,1.02,Gram,Agar malwa
2018 - 2019,Rabi,9610,12628,1.31,Gram,Agar malwa
2019 - 2020,Rabi,15191,24989,1.64,Gram,Agar malwa
2020 - 2021,Rabi,14908,16577,1.11,Gram,Alirajpur
2021 - 2022,Rabi,19345,24529,1.27,Gram,Alirajpur
2022 - 2023,Rabi,18760,14614,0.78,Gram,Alirajpur
2018 - 2019,Rabi,6416,4125,0.64,Gram,Alirajpur
2019 - 2020,Rabi,10838,10524,0.97,Gram,Alirajpur
2020 - 2021,Rabi,7810,8786,1.12,Gram,Anuppur
2021 - 2022,Rabi,6472,8808,1.36,Gram,Anuppur
2022 - 2023,Rabi,16500,12210,0.74,Gram,Anuppur
2018 - 2019,Rabi,100024,150336,1.5,Gram,Anuppur
2019 - 2020,Rabi,67745,95927,1.42,Gram,Anuppur
2020 - 2021,Rabi,71366,128459,1.8,Gram,Ashoknagar
2021 - 2022,Rabi,31206,62256,2,Gram,Ashoknagar
2022 - 2023,Rabi,32710,45467,1.39,Gram,Ashoknagar
2020 - 2021,Rabi,49437,70695,1.43,Gram,Balaghat
2021 - 2022,Rabi,46544,88387,1.9,Gram,Balaghat
2022 - 2023,Rabi,55800,58981,1.06,Gram,Balaghat
2018 - 2019,Rabi,8969,24530,2.73,Gram,Balaghat
2019 - 2020,Rabi,7003,11730,1.67,Gram,Balaghat
2020 - 2021,Rabi,12723,21642,1.7,Gram,Barwani
