district,rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
Umaria,2018,29.12457627118644,19.831186440677968,12.472203389830504,21.92,17.262203389830503
Umaria,2019,27.47091666666667,18.20258333333333,11.203749999999996,36.20000000000001,15.744583333333331
Umaria,2020,24.082975206611565,16.482479338842978,10.590247933884301,78.9,14.65487603305785
Umaria,2021,27.52825000000001,18.925583333333332,12.216666666666663,29.400000000000002,15.401166666666665
Umaria,2022,26.05049999999999,17.273916666666672,10.554166666666664,74.63000000000001,15.003833333333334
Umaria,2023,26.374333333333322,17.80841666666667,11.288583333333333,3.06,16.295000000000005
Umaria,2024,25.75,18.503606557377054,12.934262295081961,44.32,13.060655737704916
Rajgarh,2018,29.920847457627122,20.600847457627115,12.833559322033901,5.069999999999999,17.389999999999997
Rajgarh,2019,28.502500000000012,18.791999999999994,10.94416666666667,6.260000000000001,16.356416666666664
Rajgarh,2020,25.18049586776859,17.4204132231405,11.115785123966948,26.150000000000002,15.036611570247933
Rajgarh,2021,28.92241666666665,19.68033333333334,12.33408333333333,69.28,15.674416666666664
Rajgarh,2022,26.533000000000005,17.980416666666667,11.042499999999997,40.65999999999999,15.326333333333336
Rajgarh,2023,27.747499999999995,18.424083333333336,11.177166666666666,11.379999999999999,16.66566666666667
Rajgarh,2024,28.45524590163934,20.083278688524594,13.646557377049183,16.68,13.163114754098363
Dhar,2018,31.663898305084746,22.54593220338983,14.57288135593221,0.0,17.278813559322035
Dhar,2019,30.26499999999999,20.921333333333333,13.028916666666666,0.79,16.595083333333335
Dhar,2020,27.27595041322315,19.541735537190085,13.175537190082645,8.12,15.272727272727266
Dhar,2021,30.158916666666673,21.366750000000003,14.170916666666672,13.2,15.80591666666667
Dhar,2022,27.599916666666658,19.514083333333335,12.886750000000006,33.900000000000006,15.501833333333328
Dhar,2023,29.424583333333338,20.424833333333336,12.945083333333328,6.449999999999998,16.803083333333337
Dhar,2024,28.589672131147534,20.81622950819672,14.707540983606552,54.30999999999999,13.580655737704916
Shivpuri,2018,28.509491525423723,19.4064406779661,11.81,1.48,16.565084745762707
Shivpuri,2019,26.604416666666665,17.31466666666667,10.237416666666668,17.57,15.301166666666669
Shivpuri,2020,24.91760330578513,16.93785123966942,10.867851239669418,34.910000000000004,14.053388429752069
Shivpuri,2021,27.593833333333343,18.836333333333336,11.761000000000003,60.449999999999996,14.933500000000002
Shivpuri,2022,25.468666666666664,16.957249999999995,10.3235,49.46000000000001,14.51091666666667
Shivpuri,2023,25.89250000000001,17.43258333333333,10.857833333333334,5.34,15.869249999999997
Shivpuri,2024,25.83508196721312,18.264590163934425,12.621967213114754,32.61,12.349508196721306
Ashoknagar,2018,29.31457627118644,20.054067796610166,12.400677966101696,3.52,17.07186440677966
Ashoknagar,2019,27.499333333333325,18.0295,10.634500000000005,10.200000000000001,16.000916666666665
Ashoknagar,2020,24.00859504132233,16.60578512396694,10.738677685950421,35.29999999999998,14.667933884297518
Ashoknagar,2021,27.965750000000014,19.108416666666663,11.972833333333329,113.35999999999997,15.31558333333333
Ashoknagar,2022,25.335416666666667,17.006083333333336,10.304416666666665,48.89,15.027750000000003
Ashoknagar,2023,26.182249999999996,17.641416666666665,11.031499999999994,8.22,16.31433333333333
Ashoknagar,2024,27.172459016393447,18.989180327868855,13.041639344262293,21.720000000000006,12.931311475409839
West Nimar,2018,32.17033898305085,22.803898305084747,14.25864406779661,0.44,17.278813559322035
West Nimar,2019,30.787166666666675,21.262500000000003,12.979083333333332,1.89,16.595083333333335
West Nimar,2020,27.333553719008265,19.7195041322314,13.190743801652888,16.69,15.272727272727266
West Nimar,2021,30.47458333333334,21.614916666666666,14.13758333333333,16.1,15.80591666666667
West Nimar,2022,27.87516666666666,19.828416666666662,12.98466666666667,30.41,15.501833333333328
West Nimar,2023,29.186333333333355,20.26558333333334,12.641083333333336,8.91,16.803083333333337
West Nimar,2024,28.531967213114765,20.758852459016403,14.508032786885241,67.53,13.580655737704916
Bhind,2018,28.364067796610165,18.79372881355932,10.675593220338984,3.57,14.720677966101693
Bhind,2019,25.340999999999998,16.79908333333334,9.879000000000003,25.239999999999995,13.643999999999997
Bhind,2020,23.83950413223139,16.52148760330579,10.338429752066121,57.89,12.038016528925617
Bhind,2021,27.504916666666663,18.780166666666663,11.554249999999998,34.58,13.323500000000003
Bhind,2022,24.247,16.396666666666665,9.809750000000001,78.25999999999999,12.675333333333331
