Year,Season,Area,Production,Crop_yield,crop_type,district,year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,NDVI,EVI,NDWI
2021,Rabi,16,14,0.88,Barley,Anuppur,2021.0,25.99183333333333,17.9485,11.780583333333334,49.01,15.328749999999998,0.3471294907438181,0.5746300505270976,-0.0392159141277765
2022,Rabi,50,41,0.82,Barley,Anuppur,2022.0,24.70308333333333,16.693749999999998,10.346750000000004,119.95,14.89516666666667,0.2544597189921003,-0.4837281945650148,-0.0190850304578835
2019,Rabi,67,199,2.97,Barley,Anuppur,2019.0,26.70299999999999,17.854249999999997,11.105583333333332,73.08999999999999,15.588250000000006,0.4313350576769559,0.7053120485758851,-0.008003462967691
2020,Rabi,64,205,3.2,Barley,Anuppur,2020.0,23.102809917355376,15.743966942148766,9.936942148760323,121.92,14.488595041322313,0.3946831712041824,0.1691766883538269,-0.0415470268971671
2021,Rabi,87,188,2.16,Barley,Ashoknagar,2021.0,27.96575000000001,19.108416666666663,11.972833333333329,113.35999999999996,15.31558333333333,0.4089378654103803,-0.3220530732359036,0.114736678609101
2022,Rabi,110,177,1.61,Barley,Ashoknagar,2022.0,25.335416666666667,17.006083333333336,10.304416666666665,48.89,15.027750000000005,0.3120726554331833,-0.7786864087557658,0.0773732484300792
2019,Rabi,1,2,2.0,Barley,Ashoknagar,2019.0,27.499333333333325,18.0295,10.634500000000005,10.2,16.000916666666665,0.49999964742698,1.0963595213646495,0.1114366424897824
2021,Rabi,11,20,1.82,Barley,Balaghat,2021.0,27.83591666666666,19.432916666666674,12.612666666666668,40.67,16.340749999999996,0.447628663860413,-0.5433815825425417,0.0386513729934146
2022,Rabi,33,36,1.09,Barley,Balaghat,2022.0,26.346416666666663,18.32616666666667,11.851833333333332,119.64999999999998,15.70416666666667,0.3172420261899084,0.3202395396992836,0.03976960259099
2019,Rabi,28,90,3.21,Barley,Barwani,2019.0,31.56316666666667,21.90833333333333,13.570500000000004,2.81,16.953166666666664,0.369699770233666,-0.2350265929252366,0.0134743081913036
2021,Rabi,3,5,1.67,Barley,Betul,2021.0,30.133833333333328,21.20341666666667,14.124500000000005,15.86,16.35491666666667,0.3972107870680586,0.2951226645099674,0.0247967659982273
2019,Rabi,236,677,2.87,Barley,Betul,2019.0,29.92850000000001,20.589583333333337,12.928333333333333,9.97,16.976833333333328,0.4744646719483555,-0.5561774946171919,0.0392370924200478
2020,Rabi,271,444,1.64,Barley,Betul,2020.0,26.98396694214876,19.26528925619834,13.075619834710746,53.29999999999999,15.424049586776858,0.4398242162182786,0.8467336830628678,-0.009535619193923
2021,Rabi,91,245,2.69,Barley,Bhind,2021.0,27.504916666666663,18.780166666666663,11.554249999999998,34.58,13.323500000000005,0.4325200242982026,0.1143236048776871,0.1676870897100836
2022,Rabi,230,474,2.06,Barley,Bhind,2022.0,24.247,16.396666666666665,9.80975,78.25999999999999,12.675333333333333,0.3328478111723996,0.3911246230438016,0.1133930556852634
2019,Rabi,4,10,2.5,Barley,Bhind,2019.0,25.341,16.79908333333334,9.879000000000003,25.239999999999995,13.643999999999997,0.5402409457428282,-1.0465313675018062,0.1942290223609925
2020,Rabi,1,1,1.0,Barley,Bhopal,2020.0,24.75082644628101,17.16768595041321,10.918181818181818,29.89,15.021900826446284,0.4658553022496009,-0.2468493538823248,0.1237492839089528
2021,Rabi,1,1,1.0,Barley,Bhopal,2021.0,28.14083333333333,19.35291666666667,12.205083333333333,27.00000000000001,15.711416666666668,0.4184027700873803,1.96139644454281,0.1296273491546378
2019,Rabi,9845,18912,1.92,Barley,Bhopal,2019.0,27.83258333333332,18.474000000000007,10.728750000000003,4.09,16.386666666666667,0.513120465990521,0.4234364239451944,0.1625156388552991
2020,Rabi,8480,16070,1.9,Barley,Bhopal,2020.0,24.75082644628101,17.16768595041321,10.918181818181818,29.89,15.021900826446284,0.4658553022496009,-0.2468493538823248,0.1237492839089528
2021,Rabi,6210,13116,2.11,Barley,Chhatarpur,2021.0,28.12391666666666,19.419666666666668,12.068833333333334,24.18,15.249333333333333,0.3824375846465493,1.434922394406649,0.044205891671873
2022,Rabi,9846,13981,1.42,Barley,Chhatarpur,2022.0,24.42583333333334,16.457749999999994,10.077166666666663,83.27999999999999,14.781,0.2983712512579602,0.8634484270351851,0.0413441904244906
2019,Rabi,17,26,1.53,Barley,Chhatarpur,2019.0,26.659749999999992,17.731999999999992,10.611500000000005,13.419999999999998,15.649666666666674,0.4564463706123303,1.5480081226771212,0.0625789840232615
2020,Rabi,2,3,1.5,Barley,Damoh,2020.0,24.037933884297505,16.474297520661157,10.554876033057846,53.65000000000002,14.817190082644624,0.4197135744083564,0.6976222236150819,-0.0057883143620869
2019,Rabi,284,959,3.38,Barley,Damoh,2019.0,27.56566666666665,18.042500000000008,10.677916666666665,9.85,16.005833333333324,0.4416587332717005,0.4198991392392072,0.0156003766150689
2020,Rabi,327,533,1.63,Barley,Damoh,2020.0,24.037933884297505,16.474297520661157,10.554876033057846,53.65000000000002,14.817190082644624,0.4197135744083564,0.6976222236150819,-0.0057883143620869
2021,Rabi,102,253,2.48,Barley,Datia,2021.0,27.918666666666663,19.226999999999997,11.920833333333336,33.82,13.831333333333337,0.4014980870661089,0.3736754363575533,0.1078460001301361
2022,Rabi,220,407,1.85,Barley,Datia,2022.0,24.28716666666667,16.395333333333344,9.925916666666671,60.79999999999999,13.500166666666663,0.3107709210244441,0.3352389825472671,0.0789076498597278
2019,Rabi,1,2,2.0,Barley,Datia,2019.0,25.478083333333323,16.927749999999996,10.056833333333334,22.66,14.229666666666672,0.4547489479054916,1.393637074643287,0.0920684127436612
2020,Rabi,2,3,1.5,Barley,Dhar,2020.0,27.27595041322315,19.541735537190085,13.175537190082643,8.12,15.272727272727266,0.4208527628724928,0.3205812465407259,0.0807005443470378
2019,Rabi,2,2,1.0,Barley,Dindori,2019.0,26.262666666666664,17.291000000000004,10.64925,65.85,15.927833333333329,0.5059290809807472,-1.339273280722942,0.0654395102000546
2020,Rabi,6,19,3.17,Barley,Guna,2020.0,23.784628099173556,16.37363636363636,10.370330578512393,38.81,14.667933884297518,0.4542442563974381,0.1158108699445829,0.0710169009698838
2021,Rabi,7,25,3.57,Barley,Guna,2021.0,27.54425,18.68341666666668,11.506166666666662,81.97000000000001,15.31558333333333,0.409725217604011,0.3665091261824436,0.096734228135401
